Full Association Rules (all consequents)
                                                                                                  antecedents                                                                                              consequents   support  confidence      lift
150                                                                  (volatile acidity_volatile acidity_high)                                                                             (sulphates_sulphates_medium)  0.122577    0.355717  1.012084
151                                                                              (sulphates_sulphates_medium)                                                                 (volatile acidity_volatile acidity_high)  0.122577    0.348754  1.012084
152                                                                  (volatile acidity_volatile acidity_high)                                                                                    (alcohol_alcohol_low)  0.124453    0.361162  1.159633
153                                                                                     (alcohol_alcohol_low)                                                                 (volatile acidity_volatile acidity_high)  0.124453    0.399598  1.159633
154                                                                                  (alcohol_alcohol_medium)                                                                 (volatile acidity_volatile acidity_high)  0.131332    0.386740  1.122319
155                                                                  (volatile acidity_volatile acidity_high)                                                                                 (alcohol_alcohol_medium)  0.131332    0.381125  1.122319
156                                                                  (volatile acidity_volatile acidity_high)                                                                                              (quality_5)  0.198874    0.577132  1.355117
157                                                                                               (quality_5)                                                                 (volatile acidity_volatile acidity_high)  0.198874    0.466960  1.355117
158                                                                  (volatile acidity_volatile acidity_high)                                                                                              (quality_6)  0.105066    0.304900  0.764162
159                                                                   (volatile acidity_volatile acidity_low)                                                                           (citric acid_citric acid_high)  0.217636    0.679688  2.039062
160                                                                            (citric acid_citric acid_high)                                                                  (volatile acidity_volatile acidity_low)  0.217636    0.652908  2.039063
161                                                                   (volatile acidity_volatile acidity_low)                                                                     (residual sugar_residual sugar_high)  0.123827    0.386719  1.022088
162                                                                      (residual sugar_residual sugar_high)                                                                  (volatile acidity_volatile acidity_low)  0.123827    0.327273  1.022088
163                                                                    (residual sugar_residual sugar_medium)                                                                  (volatile acidity_volatile acidity_low)  0.101313    0.305660  0.954592
164                                                                   (volatile acidity_volatile acidity_low)                                                                   (residual sugar_residual sugar_medium)  0.101313    0.316406  0.954592
165                                                                   (volatile acidity_volatile acidity_low)                                                                                (chlorides_chlorides_low)  0.128831    0.402344  1.246798
166                                                                                 (chlorides_chlorides_low)                                                                  (volatile acidity_volatile acidity_low)  0.128831    0.399225  1.246798
167                                                                   (volatile acidity_volatile acidity_low)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.118199    0.369141  1.065444
